"CustomerValue","MonthlyRevenue","MonthlyMinutes","TotalRecurringCharge","OverageMinutes","RoamingCalls","PercChangeMinutes","PercChangeRevenues","PeakCallsInOut","OffPeakCallsInOut","MonthsInService","AgeHH1","BuysViaMailOrder","RespondsToMailOffers","OptOutMailings","NonUSTravel","IncomeGroup","PrizmCode","Occupation","fit.cluster"
1,-6.17,0,-6,0,0,0,6.2,0,0,7,43,0,0,0,0,6,2,8,5
3,0,0,0,0,0,0,0,0,0,11,43,0,0,0,0,0,4,8,5
3,2.54,7,0,7,0,-6,-2.2,4,0,53,43,0,0,1,0,0,2,8,5
1,3.08,15,3,0,0,-15,-3.1,0,0.7,19,43,0,0,0,0,0,4,8,5
3,3.29,12,0,8,0,9,1.9,4,0,59,43,0,0,0,0,6,4,8,5
2,3.5,0,6,0,0,0,-3.5,0,0.3,7,43,0,0,0,0,0,4,8,5
1,3.7,13,0,10,0,7,0.8,0.3,6.3,57,43,0,0,0,0,0,2,8,5
3,3.75,0,5,0,0,0,-3.8,0,0,13,43,0,0,0,0,0,4,8,5
2,3.87,61,4,0,0,-61,-3.9,43,9.7,9,43,0,0,0,0,0,1,8,5
2,4.19,16,0,11,0,3,0.4,2.3,4,53,43,0,0,0,0,0,2,8,5
1,4.35,71,4,0,0,-71,-4.4,27.7,12.7,13,43,0,0,0,0,6,2,8,5
2,4.59,0,5,0,0,0,0.2,0,0,14,43,0,0,0,0,0,4,8,5
3,4.75,0,5,0,0,0,0,0,0,34,43,0,0,0,0,0,1,8,5
1,4.75,0,5,0,0,0,0,0,0,20,43,0,0,0,0,0,3,8,5
1,4.79,0,5,0,0,0,0.2,0,0,23,43,0,0,0,0,5,4,8,5
3,5,0,0,0,0,0,0,0,0,43,43,0,0,0,0,1,4,8,5
1,5,0,0,0,0,0,0,0,0,31,43,0,0,0,0,0,4,8,5
3,5,0,0,0,0,0,0,0,0,31,43,0,0,0,0,0,1,8,5
1,5,0,5,0,0,0,0,0,0,34,43,0,0,0,0,0,3,8,5
2,5,0,0,0,0,0,0,0,0,31,43,0,0,0,0,0,4,8,5
1,5,0,5,0,0,0,0,0,0,29,43,0,0,0,0,6,4,8,5
1,5,0,5,0,0,0,0,0,0,31,43,0,0,0,0,0,4,8,5
3,5,0,0,0,0,0,0,0,0,30,43,0,0,0,0,0,4,8,5
3,5,0,0,0,0,0,0,0,0,27,43,0,0,0,0,0,2,8,5
3,5,0,0,0,0,0,0,0,0,23,43,0,0,0,0,0,4,8,5
3,5,0,5,0,0,0,0,0,0,27,43,0,0,0,0,0,4,8,5
3,5,0,5,0,0,0,0,0,0,27,43,0,0,0,0,0,4,8,5
3,5,0,0,0,0,0,0,0,0,21,43,0,0,0,0,0,4,8,5
1,5,0,0,0,0,0,0,0.3,0,21,43,0,0,0,0,0,4,8,5
2,5,0,5,0,0,0,0,0,0,26,43,0,0,0,0,0,1,8,5
3,5,0,5,0,0,0,0,0,0,24,43,0,0,0,0,0,4,8,5
1,5,0,5,0,0,0,0,0,0,21,43,0,0,0,0,0,4,8,5
3,5,0,5,0,0,0,0,0,0,21,43,0,0,0,0,0,4,8,5
1,5,0,5,0,0,0,0,0,0,17,43,0,0,0,0,0,4,8,5
1,5,0,5,0,0,0,0,0,0,20,43,0,0,0,0,0,4,8,5
3,5,0,5,0,0,0,0,0,0,15,43,0,0,0,0,3,2,8,5
1,5,0,0,0,0,0,0,0,0,13,43,0,0,0,0,0,4,8,5
2,5,0,5,0,0,0,0,0,0,13,43,0,0,0,0,0,2,8,5
3,5,0,5,0,0,0,0,0,0,12,43,0,0,0,0,0,4,8,5
1,5,0,5,0,0,0,0,0,0,14,43,0,0,0,0,0,4,8,5
2,5,0,5,0,0,0,0,0,0,13,43,0,0,0,0,0,4,8,5
3,5,0,5,0,0,0,0,0,0,11,43,0,0,0,0,0,1,8,5
3,5,0,5,0,0,0,0,0,0,11,43,0,0,0,0,0,4,8,5
2,5,0,5,0,0,0,0,0,0,9,43,0,0,0,0,0,4,8,5
2,5,0,0,0,0,0,0,0,0,7,43,0,0,0,0,0,2,8,5
1,5,0,5,0,0,0,0,0,0,43,43,0,0,0,0,0,2,8,5
3,5.04,0,5,0,0,0,0,0,0,23,43,0,0,0,0,0,4,8,5
2,5.04,0,5,0,0,0,0,0,0,20,43,0,0,0,0,0,4,8,5
3,5.12,61,3,0,0,-61,-5.1,60,16.7,7,43,0,0,0,0,0,4,8,5
1,5.25,2,5,2,0,0,0.8,1,0,45,43,0,0,0,0,0,4,8,5
3,5.71,18,0,15,0,9,2.2,6.3,2,57,43,0,0,0,0,2,4,8,5
2,5.78,8,5,0,0,-8,-34.7,2.7,3.7,27,43,0,0,0,0,6,4,8,5
1,6.03,180,6,1,0,98,7.8,16.3,12.7,9,43,0,0,0,0,0,4,8,5
1,6.12,467,2,0,3.8,-143,3.9,85.7,45.7,17,43,0,0,0,0,7,1,8,4
3,6.25,1,5,1,0,4,3.8,0,0,13,43,0,0,0,0,0,4,8,5
1,6.47,20,0,17,0,4,1.9,6.7,2.3,53,43,0,0,0,0,0,2,8,5
3,6.89,141,3,20,0,2,-27.2,21.3,4,11,43,0,0,0,0,0,4,8,5
3,6.96,161,5,0,0,-24,-9.3,49.3,18.7,7,43,0,0,0,0,0,3,8,5
3,7.5,71,8,0,0,123,-7.5,28.3,3.7,29,43,0,0,0,0,0,2,8,5
1,7.5,145,7,2,0,75,6.5,18.3,45.3,19,43,0,0,0,0,0,2,8,5
1,7.5,11,8,0,0,-7,-7.5,1,0.7,18,43,0,0,0,0,0,2,8,5
3,7.6,14,19,0,0.1,-14,2.4,0,0,11,43,0,0,0,0,6,1,8,5
1,7.79,105,7,0,0,-105,-7.8,28.7,23.7,24,43,0,0,0,0,0,4,8,5
2,7.82,4,5,1,2.1,5,3.4,0.3,0,24,43,0,0,0,0,0,4,8,5
1,8,3,5,3,0,-3,-3,2.7,0,28,43,0,0,0,0,0,2,8,5
2,8,48,10,0,0,4,1.5,10,0.7,23,43,0,0,0,0,0,1,8,5
3,8.06,5,8,0,0,15,4,1.7,1.3,8,43,0,0,0,0,4,3,8,5
1,8.32,4,5,3,0,-2,-1.3,0.7,1,41,43,0,0,0,0,6,4,8,5
2,8.68,29,0,25,0,10,3.6,10.7,10.3,60,43,0,0,0,0,0,2,8,5
3,8.91,3,4,3,0,-3,-9.2,0,3.3,12,43,0,0,0,0,0,2,8,5
2,8.94,1262,8,0,0,-388,-3.9,94.7,168.7,23,43,0,0,0,0,4,4,8,1
3,8.95,5,5,4,0,-1,0,1,1.7,21,43,0,0,0,0,0,4,8,5
3,9,0,5,0,0,0,0,0,0,7,43,0,0,0,0,0,1,8,5
1,9.11,10,9,0,0,8,-4.3,1.7,0.7,11,43,0,0,0,0,0,4,8,5
1,9.14,21,9,0,0,-21,0.9,0,0,13,43,0,0,0,0,0,4,8,5
2,9.18,121,8,0,0.1,29,2.3,40.7,18,10,43,0,0,0,0,5,3,8,5
2,9.19,7,9,0,0,-7,-2.4,0,0,13,43,0,0,0,0,0,4,8,5
1,9.35,0,10,0,0,0,0.2,0,0,14,43,0,0,0,0,4,4,8,5
1,9.5,3,10,0,0,6,0,2.7,0,29,43,0,0,0,0,0,1,8,5
1,9.5,479,10,0,0,-140,0,104.7,39,26,43,0,0,0,0,0,4,8,4
1,9.5,14,10,0,0,-2,0,6,2.7,20,43,0,0,0,0,0,4,8,5
3,9.5,190,10,0,0,-19,0,50.7,12,15,43,0,0,0,0,8,3,8,5
3,9.52,191,10,0,0,133,-1.5,29.3,41,10,43,0,0,0,0,0,4,8,5
1,9.66,54,10,0,0,-54,0.3,16,7,35,43,0,0,0,0,0,4,8,5
1,9.66,259,10,0,0.2,-60,-0.2,53,34,7,43,0,0,0,0,4,3,8,5
3,9.68,0,10,0,0,0,0.3,0,0,14,43,0,0,0,0,0,4,8,5
2,9.68,26,10,0,0,4,0.3,5.7,5,8,43,0,0,0,0,0,2,8,5
3,9.7,327,10,0,0,-45,-9.3,52,26.7,20,43,0,0,0,0,0,2,8,4
1,9.7,16,9,1,0,-16,0.3,5.3,7,19,43,0,0,0,0,0,4,8,5
2,9.82,0,10,0,0,0,0.2,0,0,19,43,0,0,0,0,0,4,8,5
1,9.83,118,10,0,0,18,-0.3,20.3,19.7,14,43,0,0,0,0,0,2,8,5
3,9.85,141,6,7,0.9,-67,0.2,37,13,20,43,0,0,0,0,0,2,8,5
1,10,121,10,0,0,53,0,35.7,13.7,37,43,0,0,0,0,0,4,8,5
3,10,662,10,0,0,58,0,108.3,95.7,37,43,0,0,0,0,0,2,8,4
2,10,87,10,0,0,-39,0,24,33.7,34,43,0,0,0,0,2,4,8,5
2,10,20,10,0,0,-6,0,0,0,38,43,1,1,0,1,9,4,3,5
3,10,2,10,0,0,-2,0,2,0,33,43,0,0,0,0,0,2,8,5
1,10,0,10,0,0,0,0,0,0,31,43,0,0,0,0,0,2,8,5
3,10,38,10,0,0,-38,0,19.3,0.7,24,43,0,0,0,0,0,2,8,5
2,10,0,10,0,0,0,0,0,0,23,43,0,0,0,0,9,2,8,5
1,10,0,10,0,0,0,0,0,0,23,43,0,0,0,0,0,2,8,5
